case_id,note_text,analyst,timestamp
CASE-2025-0001,Opened investigation for ALERT-2025-00042. Customer John Mitchell flagged for Structuring. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-08 13:32:53
CASE-2025-0001,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $117,696.84 between 2025-01-01 and 2025-01-07. Each deposit ranged from $8,552.53 to $9,712.06, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Marie Davis,2025-01-09 15:17:00
CASE-2025-0001,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Real Estate Sales. Observed activity appears inconsistent with documented profile. Risk score assessed at 88/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-10 08:42:33
CASE-2025-0002,Opened investigation for ALERT-2025-00058. Customer John Mitchell flagged for Structuring. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-10 08:38:29
CASE-2025-0002,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $117,696.84 between 2025-01-01 and 2025-01-07. Each deposit ranged from $8,552.53 to $9,712.06, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Marie Davis,2025-01-11 15:32:02
CASE-2025-0002,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Real Estate Sales. Observed activity appears inconsistent with documented profile. Risk score assessed at 88/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-12 16:04:51
CASE-2025-0003,Opened investigation for ALERT-2025-00059. Customer John Mitchell flagged for Structuring. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-12 14:10:10
CASE-2025-0003,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $117,696.84 between 2025-01-01 and 2025-01-07. Each deposit ranged from $8,552.53 to $9,712.06, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Hannah Louise,2025-01-13 08:53:10
CASE-2025-0003,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Real Estate Sales. Observed activity appears inconsistent with documented profile. Risk score assessed at 85/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-14 08:17:28
CASE-2025-0004,Opened investigation for ALERT-2025-00065. Customer John Mitchell flagged for Structuring. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-14 17:59:29
CASE-2025-0004,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $117,696.84 between 2025-01-01 and 2025-01-07. Each deposit ranged from $8,552.53 to $9,712.06, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Olivia Brown,2025-01-15 13:37:14
CASE-2025-0004,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Real Estate Sales. Observed activity appears inconsistent with documented profile. Risk score assessed at 91/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-01-16 15:23:14
CASE-2025-0005,Opened investigation for ALERT-2025-00073. Customer John Mitchell flagged for Watchlist Hit. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-13 12:19:03
CASE-2025-0005,"Transaction monitoring flagged counterparty Al-Rashid Trading LLC as a potential OFAC watchlist match. Initiated enhanced screening review. Transaction amount: $43,670.54 via Wire on 2025-01-04.",Hannah Louise,2025-01-14 15:36:21
CASE-2025-0005,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Real Estate Sales. Observed activity appears inconsistent with documented profile. Risk score assessed at 93/100. Confirmed unresolved counterparty screening concern requiring SAR consideration. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-15 17:18:29
CASE-2025-0006,Opened investigation for ALERT-2025-00074. Customer John Mitchell flagged for Structuring. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-13 13:25:36
CASE-2025-0006,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $117,696.84 between 2025-01-01 and 2025-01-07. Each deposit ranged from $8,552.53 to $9,712.06, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Hannah Louise,2025-01-14 13:26:14
CASE-2025-0006,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Real Estate Sales. Observed activity appears inconsistent with documented profile. Risk score assessed at 85/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-15 11:52:09
CASE-2025-0007,Opened investigation for ALERT-2025-00077. Customer John Mitchell flagged for Structuring. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-01-14 11:25:23
CASE-2025-0007,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $117,696.84 between 2025-01-01 and 2025-01-07. Each deposit ranged from $8,552.53 to $9,712.06, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Cassian Jude,2025-01-15 15:45:01
CASE-2025-0007,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Real Estate Sales. Observed activity appears inconsistent with documented profile. Risk score assessed at 99/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-01-16 10:45:40
CASE-2025-0008,Opened investigation for ALERT-2025-00086. Customer Sarah Kaplan flagged for Structuring. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-01-15 17:03:08
CASE-2025-0008,"Reviewed 90-day transaction history. Customer conducted 12 cash deposits totaling $109,051.43 between 2025-01-03 and 2025-01-13. Each deposit ranged from $8,574.02 to $9,747.84, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Cassian Jude,2025-01-16 16:35:40
CASE-2025-0008,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 92/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-01-17 09:11:29
CASE-2025-0009,Opened investigation for ALERT-2025-00100. Customer Sarah Kaplan flagged for Structuring. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-15 09:26:55
CASE-2025-0009,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $118,082.30 between 2025-01-03 and 2025-01-14. Each deposit ranged from $8,574.02 to $9,747.84, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Olivia Brown,2025-01-16 17:41:19
CASE-2025-0009,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 93/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-01-17 08:18:00
CASE-2025-0010,Opened investigation for ALERT-2025-00111. Customer Sarah Kaplan flagged for Structuring. Pulling transaction history and KYC documentation for review.,Olivia Brown,2025-01-15 09:13:05
CASE-2025-0010,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $118,082.30 between 2025-01-03 and 2025-01-14. Each deposit ranged from $8,574.02 to $9,747.84, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Olivia Brown,2025-01-16 12:25:02
CASE-2025-0010,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 95/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Olivia Brown,2025-01-17 14:22:13
CASE-2025-0011,Opened investigation for ALERT-2025-00115. Customer Sarah Kaplan flagged for Structuring. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-19 08:38:39
CASE-2025-0011,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $118,082.30 between 2025-01-03 and 2025-01-14. Each deposit ranged from $8,574.02 to $9,747.84, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Marie Davis,2025-01-20 17:56:46
CASE-2025-0011,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 92/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-21 10:54:37
CASE-2025-0012,Opened investigation for ALERT-2025-00121. Customer Sarah Kaplan flagged for Rapid Movement. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-19 17:18:56
CASE-2025-0012,"Account received $211,696.38 wire credit on 2025-01-10 and disbursed $74,641.24 across 1 outgoing wires within 48 hours. Retained balance represents only 64.7% of inflow. Pattern consistent with pass-through or layering activity.",Hannah Louise,2025-01-20 16:07:02
CASE-2025-0012,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 90/100. Confirmed pass-through activity with rapid outgoing wires shortly after receipt of funds. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-21 14:43:30
CASE-2025-0013,Opened investigation for ALERT-2025-00126. Customer Sarah Kaplan flagged for Cash Intensive. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-17 16:54:45
CASE-2025-0013,"Customer deposited $103,214.26 in cash over 3 transactions this month. This significantly exceeds stated monthly income of approximately $23,333.33. No clear business justification documented in KYC file.",Marie Davis,2025-01-18 08:45:48
CASE-2025-0013,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 96/100. Confirmed cash activity materially exceeds expected volumes and stated revenue profile. Proceeding with SAR recommendation or enhanced review based on case disposition.,Marie Davis,2025-01-19 15:18:52
CASE-2025-0014,Opened investigation for ALERT-2025-00128. Customer Sarah Kaplan flagged for Structuring. Pulling transaction history and KYC documentation for review.,Cassian Jude,2025-01-17 08:18:50
CASE-2025-0014,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $118,082.30 between 2025-01-03 and 2025-01-14. Each deposit ranged from $8,574.02 to $9,747.84, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Cassian Jude,2025-01-18 12:07:40
CASE-2025-0014,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 100/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Cassian Jude,2025-01-19 16:19:33
CASE-2025-0015,Opened investigation for ALERT-2025-00133. Customer Sarah Kaplan flagged for Structuring. Pulling transaction history and KYC documentation for review.,Hannah Louise,2025-01-18 08:12:48
CASE-2025-0015,"Reviewed 90-day transaction history. Customer conducted 13 cash deposits totaling $118,082.30 between 2025-01-03 and 2025-01-14. Each deposit ranged from $8,574.02 to $9,747.84, all structured below the $10,000 CTR reporting threshold. Pattern is consistent with intentional structuring.",Hannah Louise,2025-01-19 09:00:13
CASE-2025-0015,Received case from L1 monitoring queue. Reviewed KYC on file; customer classified as High risk with Enhanced due diligence. Source of funds documented as Retail Business Income. Observed activity appears inconsistent with documented profile. Risk score assessed at 95/100. Confirmed repeated below-threshold cash deposits with no documented legitimate explanation. Proceeding with SAR recommendation or enhanced review based on case disposition.,Hannah Louise,2025-01-20 16:42:06
CASE-2025-0016,Opened investigation for ALERT-2025-00158. Customer Sarah Kaplan flagged for Rapid Movement. Pulling transaction history and KYC documentation for review.,Marie Davis,2025-01-21 12:27:20
CASE-2025-0016,"Account received $211,696.38 wire credit on 2025-01-10 and disbursed $74,641.24 across 1 outgoing wires within 48 hours. Retained balance represents only 64.7% of inflow. Pattern consistent with pass-through or layering activity.",Marie Davis,2025-01-22 09:42:05
