alert_id,rule_explanation
BSA-ALERT-0001,"{""scenario"":""STRUCTURING"",""version"":""v2"",""rule_summary"":""Customer CUST-0003 made 7 cash deposits totaling $63,950 from 2026-04-23 to 2026-05-02; each deposit was between $8,500 and $9,800 and below the $10,000 CTR reporting threshold."",""thresholds_at_detection"":{""min_txn_amount"":8000,""max_txn_amount"":9999,""min_count"":3,""window_days"":10,""threshold_change_reason"":""Reduced window from 14 to 10 days based on FP analysis""},""observed"":{""customer_id"":""CUST-0003"",""date_range"":""2026-04-23 to 2026-05-02"",""transaction_count"":7,""total_amount_usd"":63950,""amounts_usd"":[8500,9100,8750,9800,9200,8900,9700],""amount_range_usd"":""8500-9800"",""accounts_used"":2,""triggering_transaction_ids"":[""TXN-000001"",""TXN-000002"",""TXN-000003"",""TXN-000004"",""TXN-000005"",""TXN-000006"",""TXN-000007""]},""red_flags"":[""All cash deposits fell below the CTR reporting threshold"",""Multiple accounts received deposits during the same 10-day window"",""Pattern repeated without a documented cash-heavy business rationale""]}"
BSA-ALERT-0002,"{""scenario"":""HIGH_RISK_COUNTRY"",""version"":""v2"",""rule_summary"":""Customer CUST-0011 sent 4 USD wires totaling $89,000 to Mandalay Teak Trading Co Ltd in Myanmar between 2026-04-10 and 2026-04-19."",""thresholds_at_detection"":{""min_amount"":5000,""risk_tier"":""high"",""include_fatf_grey"":true,""include_ofac_countries"":true},""observed"":{""customer_id"":""CUST-0011"",""counterparty_id"":""CP-00031"",""counterparty_country"":""Myanmar"",""date_range"":""2026-04-10 to 2026-04-19"",""transaction_count"":4,""total_amount_usd"":89000,""amounts_usd"":[22500,18000,24000,24500],""largest_transaction_usd"":24500,""triggering_transaction_ids"":[""TXN-000012"",""TXN-000013"",""TXN-000014"",""TXN-000015""]},""red_flags"":[""Destination country is treated as high risk under the bank jurisdiction-risk matrix"",""Multiple wires were sent to the same timber-trading counterparty"",""Payment purpose notes were vague and unsupported by invoices""]}"
BSA-ALERT-0003,"{""scenario"":""WATCHLIST_HIT"",""version"":""v2"",""rule_summary"":""Customer CUST-0008 initiated 3 payments totaling $25,500 to Damascus Cotton Export House, which screened as a confirmed sanctions hit with match scores from 92 to 96."",""thresholds_at_detection"":{""min_match_score"":85,""screen_counterparties"":true,""screen_beneficial_owners"":true},""observed"":{""customer_id"":""CUST-0008"",""counterparty_id"":""CP-00032"",""counterparty_name"":""Damascus Cotton Export House"",""screening_status"":""confirmed_hit"",""date_range"":""2026-05-03 to 2026-05-05"",""transaction_count"":3,""total_amount_usd"":25500,""match_scores"":[96,94,92],""triggering_transaction_ids"":[""TXN-000019"",""TXN-000020"",""TXN-000021""]},""red_flags"":[""Counterparty screened as a confirmed sanctions hit"",""Payment attempts were split over three consecutive business days"",""Customer profile did not support Syria-related textile trade""]}"
BSA-ALERT-0004,"{""scenario"":""CASH_INTENSIVE"",""version"":""v2"",""rule_summary"":""Customer CUST-0014 deposited $57,400 in cash over the 30-day period ending 2026-05-07, exceeding the $50,000 monthly threshold."",""thresholds_at_detection"":{""weekly_threshold"":15000,""monthly_threshold"":50000,""lookback_days"":30},""observed"":{""customer_id"":""CUST-0014"",""date_range"":""2026-04-08 to 2026-05-07"",""transaction_count"":5,""total_cash_deposits_usd"":57400,""weekly_peak_usd"":18900,""amounts_usd"":[11800,12600,9400,13500,10100],""triggering_transaction_ids"":[""TXN-000024"",""TXN-000025"",""TXN-000026"",""TXN-000027"",""TXN-000028""]},""red_flags"":[""Monthly cash deposits exceeded the scenario threshold"",""Weekly cash activity exceeded $15,000 during the same lookback period"",""Cash volume was inconsistent with prior six-month account activity""]}"
BSA-ALERT-0005,"{""scenario"":""RAPID_MOVEMENT"",""version"":""v2"",""rule_summary"":""Customer CUST-0006 received $75,000 in inbound wires and moved $68,500 out within 28 hours, representing 91.3% outbound movement."",""thresholds_at_detection"":{""min_inflow"":50000,""outflow_pct"":85,""window_hours"":48},""observed"":{""customer_id"":""CUST-0006"",""inflow_usd"":75000,""outflow_usd"":68500,""outflow_pct"":91.3,""window_hours"":28,""date_range"":""2026-04-28 to 2026-04-29"",""transaction_count"":4,""triggering_transaction_ids"":[""TXN-000032"",""TXN-000033"",""TXN-000034"",""TXN-000035""]},""red_flags"":[""More than 85% of inbound funds left within 48 hours"",""Inbound and outbound counterparties were unrelated to the customer stated business"",""Account retained minimal ending balance after the transfers""]}"
BSA-ALERT-0006,"{""scenario"":""TRADE_BASED_ML"",""version"":""v2"",""rule_summary"":""Customer CUST-0017 processed 4 trade payments totaling $118,700 where invoice values differed from shipment documents by 34% on average."",""thresholds_at_detection"":{""invoice_mismatch_pct"":20,""min_transaction_amount"":10000,""multi_jurisdiction"":true},""observed"":{""customer_id"":""CUST-0017"",""date_range"":""2026-03-31 to 2026-04-18"",""transaction_count"":4,""total_amount_usd"":118700,""average_invoice_mismatch_pct"":34,""highest_invoice_mismatch_pct"":41,""jurisdictions"":[""United States"",""Myanmar"",""Singapore""],""triggering_transaction_ids"":[""TXN-000038"",""TXN-000039"",""TXN-000040"",""TXN-000041""]},""red_flags"":[""Invoice mismatch exceeded the 20% scenario threshold"",""Trade documents involved multiple jurisdictions"",""Commodity descriptions changed across related invoices""]}"
BSA-ALERT-0007,"{""scenario"":""HIGH_RISK_COUNTRY"",""version"":""v2"",""rule_summary"":""Customer CUST-0019 sent 3 wires totaling $62,500 to Caspian Metals Brokerage LLC in Russia from 2026-04-21 to 2026-04-25."",""thresholds_at_detection"":{""min_amount"":5000,""risk_tier"":""high"",""include_fatf_grey"":true,""include_ofac_countries"":true},""observed"":{""customer_id"":""CUST-0019"",""counterparty_id"":""CP-00033"",""counterparty_country"":""Russia"",""date_range"":""2026-04-21 to 2026-04-25"",""transaction_count"":3,""total_amount_usd"":62500,""amounts_usd"":[19500,22000,21000],""triggering_transaction_ids"":[""TXN-000045"",""TXN-000046"",""TXN-000047""]},""red_flags"":[""Counterparty country is high risk under sanctions and geopolitical risk procedures"",""Counterparty screened as a confirmed sanctions hit"",""Customer had no prior metals-brokerage payment history""]}"
BSA-ALERT-0008,"{""scenario"":""STRUCTURING"",""version"":""v2"",""rule_summary"":""Customer CUST-0001 made 8 cash deposits totaling $72,400 from 2026-04-29 to 2026-05-08, all between $8,050 and $9,950."",""thresholds_at_detection"":{""min_txn_amount"":8000,""max_txn_amount"":9999,""min_count"":3,""window_days"":10,""threshold_change_reason"":""Reduced window from 14 to 10 days based on FP analysis""},""observed"":{""customer_id"":""CUST-0001"",""date_range"":""2026-04-29 to 2026-05-08"",""transaction_count"":8,""total_amount_usd"":72400,""amounts_usd"":[8050,8950,9100,9250,8700,9300,9100,9950],""amount_range_usd"":""8050-9950"",""accounts_used"":3,""triggering_transaction_ids"":[""TXN-000050"",""TXN-000051"",""TXN-000052"",""TXN-000053"",""TXN-000054"",""TXN-000055"",""TXN-000056"",""TXN-000057""]},""red_flags"":[""All deposits were below the $10,000 CTR reporting threshold"",""Three accounts were used during the same 10-day period"",""Deposit amounts clustered just under reportable levels""]}"
BSA-ALERT-0009,"{""scenario"":""CASH_INTENSIVE"",""version"":""v2"",""rule_summary"":""Customer CUST-0005 deposited $51,200 in cash between 2026-04-09 and 2026-05-06, exceeding the $50,000 monthly cash threshold."",""thresholds_at_detection"":{""weekly_threshold"":15000,""monthly_threshold"":50000,""lookback_days"":30},""observed"":{""customer_id"":""CUST-0005"",""date_range"":""2026-04-09 to 2026-05-06"",""transaction_count"":4,""total_cash_deposits_usd"":51200,""weekly_peak_usd"":16100,""amounts_usd"":[12100,14800,13400,10900],""triggering_transaction_ids"":[""TXN-000062"",""TXN-000063"",""TXN-000064"",""TXN-000065""]},""red_flags"":[""Monthly cash deposits exceeded the cash-intensive threshold"",""Weekly cash volume also exceeded $15,000"",""Deposits were made at two branches outside the normal operating area""]}"
BSA-ALERT-0010,"{""scenario"":""RAPID_MOVEMENT"",""version"":""v2"",""rule_summary"":""Customer CUST-0010 received $55,000 and sent $47,200 out within 32 hours, representing 85.8% outbound movement."",""thresholds_at_detection"":{""min_inflow"":50000,""outflow_pct"":85,""window_hours"":48},""observed"":{""customer_id"":""CUST-0010"",""inflow_usd"":55000,""outflow_usd"":47200,""outflow_pct"":85.8,""window_hours"":32,""date_range"":""2026-04-14 to 2026-04-15"",""transaction_count"":3,""triggering_transaction_ids"":[""TXN-000068"",""TXN-000069"",""TXN-000070""]},""red_flags"":[""Outbound movement exceeded 85% of inbound funds"",""Funds moved within the 48-hour scenario window"",""Wire memo did not identify a clear business purpose""]}"
