transaction_id,account_id,customer_id,txn_date,txn_time,txn_type,channel,description,counterparty_name,counterparty_bank,counterparty_country,amount,running_balance,is_alerted,alert_id
TXN-000001,ACC-0001,CUST-0001,2025-01-01,08:24:58,Cash Deposit,Branch,Cash Deposit,,,USA,8552.53,270857.71,true,ALERT-2025-00070
TXN-000002,ACC-0002,CUST-0001,2025-01-01,08:33:55,Cash Deposit,Branch,Cash Deposit,,,USA,8555.73,10555.73,true,ALERT-2025-00040
TXN-000003,ACC-0001,CUST-0001,2025-01-01,10:37:20,Cash Deposit,Branch,Cash Deposit,,,USA,9298.70,280156.41,true,ALERT-2025-00058
TXN-000004,ACC-0001,CUST-0001,2025-01-01,10:52:57,Cash Deposit,Branch,Cash Deposit,,,USA,9245.96,289402.37,true,ALERT-2025-00036
TXN-000005,ACC-0002,CUST-0001,2025-01-01,12:37:06,Cash Deposit,Branch,Cash Deposit,,,USA,8580.28,19136.01,true,ALERT-2025-00007
TXN-000006,ACC-0002,CUST-0001,2025-01-01,16:44:50,Cash Deposit,Branch,Cash Deposit,,,USA,8850.66,27986.67,true,ALERT-2025-00032
TXN-000007,ACC-0001,CUST-0001,2025-01-01,17:01:46,Cash Deposit,Branch,Cash Deposit,,,USA,8731.19,298133.56,true,ALERT-2025-00027
TXN-000008,ACC-0003,CUST-0001,2025-01-01,17:53:00,Wire Debit,Wire,International Wire Transfer,Parsian Industrial Group,Parsian Bank,Iran,58163.82,537063.54,true,ALERT-2025-00018
TXN-000009,ACC-0002,CUST-0001,2025-01-02,08:12:45,Cash Deposit,Branch,Cash Deposit,,,USA,9558.60,37545.27,true,ALERT-2025-00042
TXN-000010,ACC-0001,CUST-0001,2025-01-02,08:22:48,Cash Deposit,Branch,Cash Deposit,,,USA,9542.82,307676.38,true,ALERT-2025-00066
TXN-000011,ACC-0027,CUST-0011,2025-01-02,09:11:11,ACH Debit,ACH,Utility Payment,Green Electric Utility,Metro Utility Bank,USA,121.68,2000.00,false,
TXN-000012,ACC-0039,CUST-0015,2025-01-02,17:21:40,ACH Debit,ACH,Commercial Utility Payment,Utility Services USA,Metro Utility Bank,USA,544.38,1502156.46,false,
TXN-000013,ACC-0005,CUST-0002,2025-01-03,09:36:09,Cash Deposit,Branch,Cash Deposit,,,USA,8574.02,10574.02,true,ALERT-2025-00083
TXN-000014,ACC-0001,CUST-0001,2025-01-03,16:29:45,Cash Deposit,Branch,Cash Deposit,,,USA,8572.02,316248.40,true,ALERT-2025-00077
TXN-000015,ACC-0016,CUST-0006,2025-01-04,10:06:23,ATM Withdrawal,ATM,ATM Withdrawal,City ATM Network,First National Bank — US,USA,430.91,2000.00,false,
