alert_id,customer_id,account_id,scenario,priority,alert_status,assigned_to,team,amount,risk_score,sla_days,created_at,sla_due_date,disposition,closed_at
ALERT-2025-00001,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,8822.06,35,15,2025-03-12,2025-03-27,False Positive,2025-03-21
ALERT-2025-00002,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,8761.24,39,15,2025-03-13,2025-03-28,False Positive,2025-03-13
ALERT-2025-00003,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,9221.95,29,15,2025-03-14,2025-03-29,False Positive,2025-03-24
ALERT-2025-00004,CUST-0001,ACC-0002,Structuring,Medium,Unassigned,,,9651.78,48,336,2025-02-24,2026-01-26,,
ALERT-2025-00005,CUST-0001,ACC-0003,Rapid Movement,Low,Closed — False Positive,Robert Wright,T1 Monitoring,319500.19,16,15,2025-03-14,2025-03-29,False Positive,2025-03-22
ALERT-2025-00006,CUST-0001,ACC-0001,Structuring,Medium,In Progress,Neha Iyer,T1 Monitoring,8953.27,52,327,2025-03-02,2026-01-23,,
ALERT-2025-00007,CUST-0001,ACC-0002,Structuring,High,Escalated - L2,Marie Davis,T2 Investigations,8580.28,78,380,2025-01-31,2026-02-15,,
ALERT-2025-00008,CUST-0001,ACC-0003,Watchlist Hit,Medium,Closed — False Positive,Priya Nair,T1 Monitoring,55875.98,62,7,2025-03-15,2025-03-22,False Positive,2025-03-20
ALERT-2025-00009,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,9091.72,26,15,2025-03-15,2025-03-30,False Positive,2025-03-25
ALERT-2025-00010,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,9440.69,30,15,2025-03-15,2025-03-30,False Positive,2025-03-16
ALERT-2025-00011,CUST-0001,ACC-0001,Structuring,Medium,Unassigned,,,8725.44,57,308,2025-03-17,2026-01-19,,
ALERT-2025-00012,CUST-0001,ACC-0001,Cash Intensive,Low,Closed — False Positive,Robert Wright,T1 Monitoring,24983.54,25,15,2025-03-17,2025-04-01,False Positive,2025-03-27
ALERT-2025-00013,CUST-0001,ACC-0002,Structuring,Medium,In Progress,Priya Nair,T1 Monitoring,9252.51,43,353,2025-01-26,2026-01-14,,
ALERT-2025-00014,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,9215.96,19,15,2025-03-18,2025-04-02,False Positive,2025-03-25
ALERT-2025-00015,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,9015.92,19,15,2025-03-18,2025-04-02,False Positive,2025-03-18
ALERT-2025-00016,CUST-0001,ACC-0001,Rapid Movement,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,31425.76,23,15,2025-03-18,2025-04-02,False Positive,2025-03-29
ALERT-2025-00017,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,9080.75,26,15,2025-03-19,2025-04-03,False Positive,2025-03-25
ALERT-2025-00018,CUST-0001,ACC-0003,High Risk Country,High,Escalated - L2,Hannah Louise,T2 Investigations,58163.82,85,385,2025-01-02,2026-01-22,,
ALERT-2025-00019,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,8537.52,35,15,2025-03-20,2025-04-04,False Positive,2025-03-26
ALERT-2025-00020,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,8846.81,20,15,2025-03-20,2025-04-04,False Positive,2025-03-24
ALERT-2025-00021,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Vikram Sinha,T1 Monitoring,9496.10,37,15,2025-03-22,2025-04-06,False Positive,2025-04-03
ALERT-2025-00022,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,8746.13,18,15,2025-03-22,2025-04-06,False Positive,2025-03-24
ALERT-2025-00023,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,8964.91,37,15,2025-03-22,2025-04-06,False Positive,2025-03-28
ALERT-2025-00024,CUST-0001,ACC-0001,Structuring,Medium,Not Started,Vikram Sinha,T1 Monitoring,9049.42,63,303,2025-04-03,2026-01-31,,
ALERT-2025-00025,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Rohit Mehta,T1 Monitoring,9544.48,27,15,2025-03-22,2025-04-06,False Positive,2025-04-02
ALERT-2025-00026,CUST-0001,ACC-0002,Cash Intensive,Medium,In Progress,Rohit Mehta,T1 Monitoring,33067.65,55,363,2025-02-11,2026-02-09,,
ALERT-2025-00027,CUST-0001,ACC-0001,Structuring,High,Escalated - L2,Hannah Louise,T2 Investigations,8731.19,78,372,2025-02-04,2026-02-11,,
ALERT-2025-00028,CUST-0001,ACC-0001,Cash Intensive,High,Escalated - L2,Olivia Brown,T2 Investigations,36913.11,89,371,2025-02-28,2026-03-06,,
ALERT-2025-00029,CUST-0001,ACC-0002,Cash Intensive,Low,Closed — False Positive,Vikram Sinha,T1 Monitoring,28496.05,35,15,2025-03-24,2025-04-08,False Positive,2025-03-26
ALERT-2025-00030,CUST-0001,ACC-0002,Structuring,Medium,In Progress,Arjun Sharma,T1 Monitoring,8640.55,48,320,2025-06-14,2026-04-30,,
ALERT-2025-00031,CUST-0001,ACC-0001,Structuring,Medium,Not Started,Rohit Mehta,T1 Monitoring,8731.38,66,320,2025-06-14,2026-04-30,,
ALERT-2025-00032,CUST-0001,ACC-0002,Structuring,High,Escalated - L2,Marie Davis,T2 Investigations,8850.66,88,383,2025-02-16,2026-03-06,,
ALERT-2025-00033,CUST-0001,ACC-0001,Watchlist Hit,Medium,Not Started,Arjun Sharma,T1 Monitoring,56003.49,67,319,2025-05-15,2026-03-30,,
ALERT-2025-00034,CUST-0001,ACC-0001,Structuring,Medium,Not Started,Arjun Sharma,T1 Monitoring,8624.62,40,297,2025-04-27,2026-02-18,,
ALERT-2025-00035,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,9325.75,29,15,2025-03-25,2025-04-09,False Positive,2025-04-04
ALERT-2025-00036,CUST-0001,ACC-0001,Structuring,High,Escalated - L2,Hannah Louise,T2 Investigations,9245.96,90,380,2025-03-18,2026-04-02,,
ALERT-2025-00037,CUST-0001,ACC-0002,Structuring,Medium,In Progress,Robert Wright,T1 Monitoring,8636.10,60,300,2025-04-23,2026-02-17,,
ALERT-2025-00038,CUST-0001,ACC-0003,Rapid Movement,Low,Closed — False Positive,Priya Nair,T1 Monitoring,87970.10,15,15,2025-03-26,2025-04-10,False Positive,2025-03-27
ALERT-2025-00039,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Neha Iyer,T1 Monitoring,9161.03,18,15,2025-03-26,2025-04-10,False Positive,2025-04-02
ALERT-2025-00040,CUST-0001,ACC-0002,Structuring,High,Escalated - L2,Hannah Louise,T2 Investigations,8555.73,93,444,2025-02-15,2026-05-05,,
ALERT-2025-00041,CUST-0001,ACC-0001,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,9111.60,15,15,2025-03-27,2025-04-11,False Positive,2025-04-04
ALERT-2025-00042,CUST-0001,ACC-0002,Structuring,High,Escalated - SAR,Olivia Brown,T2 Investigations,9558.60,88,374,2025-01-31,2026-02-09,,
ALERT-2025-00043,CUST-0001,ACC-0003,Watchlist Hit,Medium,Unassigned,,,20184.08,50,309,2025-04-16,2026-02-19,,
ALERT-2025-00044,CUST-0001,ACC-0001,High Risk Country,Medium,Closed — False Positive,Priya Nair,T1 Monitoring,77720.91,66,7,2025-03-27,2025-04-03,False Positive,2025-03-31
ALERT-2025-00045,CUST-0001,ACC-0001,Structuring,Medium,In Progress,Neha Iyer,T1 Monitoring,9065.48,60,302,2025-04-22,2026-02-18,,
ALERT-2025-00046,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Robert Wright,T1 Monitoring,8975.25,34,15,2025-03-28,2025-04-12,False Positive,2025-04-05
ALERT-2025-00047,CUST-0001,ACC-0001,Cash Intensive,Low,Closed — False Positive,Vikram Sinha,T1 Monitoring,33231.98,31,15,2025-03-28,2025-04-12,False Positive,2025-04-10
ALERT-2025-00048,CUST-0001,ACC-0001,Structuring,Medium,In Progress,Rohit Mehta,T1 Monitoring,8885.48,57,289,2025-03-28,2026-01-11,,
ALERT-2025-00049,CUST-0001,ACC-0002,Structuring,Medium,In Progress,Neha Iyer,T1 Monitoring,8973.68,67,295,2025-05-12,2026-03-03,,
ALERT-2025-00050,CUST-0001,ACC-0001,Structuring,Medium,Unassigned,,,9550.85,59,365,2025-02-09,2026-02-09,,
ALERT-2025-00051,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Arjun Sharma,T1 Monitoring,9876.01,25,15,2025-03-29,2025-04-13,False Positive,2025-04-06
ALERT-2025-00052,CUST-0001,ACC-0001,Structuring,Medium,Not Started,Arjun Sharma,T1 Monitoring,8722.88,64,299,2025-05-04,2026-02-27,,
ALERT-2025-00053,CUST-0001,ACC-0002,Structuring,Low,Closed — False Positive,Priya Nair,T1 Monitoring,9823.12,26,15,2025-03-29,2025-04-13,False Positive,2025-04-07
ALERT-2025-00054,CUST-0001,ACC-0002,Cash Intensive,Medium,Unassigned,,,22336.82,43,337,2025-05-25,2026-04-27,,
